"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","AutorabitExtId__c"
"a2HKU0000004sGS2AY","false","SC-000133081","a2FKU0000004vlW2AQ","1.01","","","","","","00001602764632534","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sTq2AI","false","SC-000133911","a2FKU0000004vl12AA","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a2HKU0000004sP22AI","LLC_BI__Contingent_Liabilties__r","","00231560278867809","LLC_BI__Contingent_Liabilty__c","","0.0","false","","false",""
"a2HKU0000004sIg2AI","false","SC-000133219","a2FKU0000004vrA2AQ","1.01","","","","","","00321663700626422","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sF72AI","false","SC-000132998","a2FKU0000004vom2AA","1.01","","","","","","00801620937672786","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFR2AY","false","SC-000133018","a2FKU0000004vu02AA","1.01","","","","","","01231620937672796","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sGL2AY","false","SC-000133074","a2FKU0000004vpu2AA","0.0","LLC_BI__Income_Schedule","","","","Income Schedule","01261602764632532","LLC_BI__Income__c","","","false","","false",""
"a2HKU0000004sP92AI","false","SC-000133620","a2FKU0000004vun2AA","2.01","","","a2HKU0000004sCk2AI","LLC_BI__Product_Package__r","","01341567002572391","LLC_BI__Product_Package__c","","0.0","false","","false",""
"a2HKU0000004sFf2AI","false","SC-000133032","a2FKU0000004vli2AA","1.01","LLC_BI__UI_Budget_Details","","","","","01501620937672803","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sG52AI","false","SC-000133058","a2FKU0000004vwY2AQ","1.01","NPORTAL__Secured_RL_Eligibility_Loan","","","","","01671602078251889","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sFa2AI","false","SC-000133027","a2FKU0000004vuu2AA","0.0","LLC_BI__UI_CRA_Property_Location","","","","Property Location","01841620937672801","LLC_BI__Loan__c","","","false","","false",""
"a2HKU0000004sGT2AY","false","SC-000133082","a2FKU0000004vtR2AQ","1.01","IBCL_Consumer_Next_Steps","","","","","02651602764632535","LLC_BI__Loan__c","","0.0","false","","false",""
"a2HKU0000004sHP2AY","false","SC-000133140","a2FKU0000004vmy2AA","1.01","OA_Primary_ID_Details","","","","","02691598553324362","Contact","","0.0","false","","false",""
"a2HKU0000004sP32AI","false","SC-000133614","a2FKU0000004vlY2AQ","2.01","UI_Borrowing_Structure","","a2HKU0000004sCQ2AY","LLC_BI__Legal_Entities__r","Borrowing Structure","02741560278867810","LLC_BI__Legal_Entities__c","","","false","","false",""
"a2HKU0000004sQX2AY","false","SC-000133706","a2FKU0000004vlJ2AQ","2.02","LLC_BI__UI_Beneficiary","","a2HKU0000004sHD2AY","LLC_BI__Deposits__r","","03263E7A_7E37_4849_912F_4752437A5C6C","LLC_BI__Beneficiary__c","","","false","","false",""
