"Id","OwnerId","IsDeleted","Name","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a0sWD00000XoBlLYAV","005al00000RVcKvAAL","false","3508 Review - Approved in Full","false","false","true","341535406464","a0sWD00000XoBlLYAV"
"a0sWD00000XnsdzYAB","005al00000RVcKvAAL","false","Collateral-Possessory-Note/Instrument","false","false","true","42012862423685131","a0sWD00000XnsdzYAB"
"a0sWE000002XbSfYAK","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42030581903935133",""
"a0sWD00000Xnse7YAB","005al00000Q6IbCAAV","false","Collateral-Possessory-Bills of Lading","false","false","true","42069100893617569","a0sWD00000Xnse7YAB"
"a0sWE000002XbSgYAK","005al00000RVcKvAAL","false","Collateral Creation Screen","false","false","true","42118336128985105",""
"a0sWD00000XnsdwYAB","005al00000RVcKvAAL","false","Collateral-Titled-Vessel","false","false","true","42193338758163888","a0sWD00000XnsdwYAB"
"a0sWD00000XnseAYAR","005al00000RVcKvAAL","false","Collateral-Titled","false","false","true","42229309426024690","a0sWD00000XnseAYAR"
"a0sWD00000XnseFYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Letter of Credit","false","false","true","42254692718045368","a0sWD00000XnseFYAR"
"a0sWD00000XnsdtYAB","005al00000Q6IbCAAV","false","Collateral-Possessory-Key Person Insurance","false","false","true","42260456631626244","a0sWD00000XnsdtYAB"
"a0sWD00000XnseHYAR","005al00000Q6IbCAAV","false","Collateral-Possessory-Warehouse Receipts","false","false","true","42280349349038997","a0sWD00000XnseHYAR"
"a0sWD00000XoBoMYAV","005al00000RVcKvAAL","false","Other Default Pledged Collateral Edit Screen","false","false","true","42343481268905692","a0sWD00000XoBoMYAV"
"a0sWD00000XnsdrYAB","005al00000RVcKvAAL","false","Collateral-Other-Government Contracts","false","false","true","42385715917275967","a0sWD00000XnsdrYAB"
"a0sWD00000XnseBYAR","005al00000Q6IbCAAV","false","Collateral-Possessory-Credit Life","false","false","true","42394153288848601","a0sWD00000XnseBYAR"
"a0sWD00000XnseEYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Life Insurance","false","false","true","42401059851966033","a0sWD00000XnseEYAR"
"a0sWD00000XoBp1YAF","005al00000RVcKvAAL","false","Real Estate Default Pledged Collateral Edit Screen","false","false","true","42434056664701194","a0sWD00000XoBp1YAF"
"a0sWD00000Xnse4YAB","005al00000RVcKvAAL","false","Collateral-Titled-Ship","false","false","true","42437151313046644","a0sWD00000Xnse4YAB"
"a0sWD00000XnseDYAR","005al00000RVcKvAAL","false","Collateral-Possessory-Savings/CDs","false","false","true","42440767386795598","a0sWD00000XnseDYAR"
"a0sWD00000XnsdyYAB","005al00000RVcKvAAL","false","Collateral-Titled-Mobile Home","false","false","true","42461395767237886","a0sWD00000XnsdyYAB"
"a0sWD00000Xnse3YAB","005al00000Q6IbCAAV","false","Collateral-Possessory-Stocks","false","false","true","42463981752592188","a0sWD00000Xnse3YAB"
"a0sWD00000XnsduYAB","005al00000RVcKvAAL","false","Default Pledged Leased Asset Edit Screen","false","false","true","42524349854296463","a0sWD00000XnsduYAB"
"a0sWD00000Xnse1YAB","005al00000Q6IbCAAV","false","Collateral-Possessory-Revocable Letter of Credit","false","false","true","42576262737384334","a0sWD00000Xnse1YAB"
"a0sWD00000Xnse8YAB","005al00000RVcKvAAL","false","Collateral-Titled-Aircraft","false","false","true","42581909766045101","a0sWD00000Xnse8YAB"
