"Id","IsDeleted","Name","OwnerId","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDNdYAO","false","Reserve Loan Number","005al00000RVcKvAAL","atbk-reserve-loan-id","","atbk__automatedbooking","","","n-icon-entity","false","nforce__navigation","","","","","nforce__sub_navigation","atbk-reserve-loan-id","","nforce__topbar","000F42026219492CA938335979321279"
"a0mWD000003RDNeYAO","false","Fees","005al00000RVcKvAAL","booked-fees","","nforce__blank","","","n-icon-relationship","false","nforce__navigation","","","","","nforce__sub_navigation","booked-fees","","nforce__topbar","00391620937670675"
"a0mWD000003RDNfYAO","false","Collateral","005al00000RVcKvAAL","lob-loan-post-collateral2","","LLC_BI__Collateral_2_Management","","","n-icon-collateral","false","nforce__navigation","","","","a0sWD00000Xo7ePYAR","nforce__sub_navigation","lob-loan-post-collateral2","","nforce__topbar","005370332B394716925D7705720C4E01"
"a0mWD000003RDwSYAW","false","Compliance","005al00000RVcKvAAL","post-approval-compliance","","llc_bi__hmda_applicants","","","n-icon-hmda","false","nforce__navigation","","","","a0sWD00000Xo7kLYAR","nforce__sub_navigation","post-approval-compliance","","nforce__topbar","00581619447513732"
"a0mWD000003RDNgYAO","false","Budget Administration","005al00000RVcKvAAL","booked-budget-administration2","","nforce__blank","","","","false","nforce__navigation","","","","","nforce__sub_navigation","booked-budget-administration2","","nforce__topbar","01581620937670667"
"a0mWD000003RDjSYAW","false","Authorized Signers","005al00000RVcKvAAL","small-business-loan-post-approval-ui-authorized-signers","","llc_bi__multitierinvolvement","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7dGYAR","nFORCE__sub_navigation","retail-loan-ui-application","","nforce__topbar","01761663700623998"
"a0mWD000003RDwTYAW","false","Fees Summary","005al00000RVcKvAAL","post-approval-fees-summary","Lightning Web Component","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000Xo7kMYAR","nforce__sub_navigation","post-approval-fees-summary","","nforce__topbar","01981619447513720"
"a0mWD000003RDNhYAO","false","Order Entry","005al00000RVcKvAAL","tm-oe-13deposit-a-13","","nforce__ncdatagrid","","","n-icon-treasury_management","false","nforce__navigation","","","","a0sWD00000Xo7bYYAR","nforce__sub_navigation","","","nforce__topbar","020166758"
"a0mWD000003RDwUYAW","false","Covenants","005al00000RVcKvAAL","post-approval-covenants","","llc_bi__loancovenantrelatedlist","","","n-icon-covenant","false","nforce__navigation","","","","","nforce__sub_navigation","post-approval-covenants","","nforce__topbar","02061619447513731"
"a0mWD000003RDjTYAW","false","Adverse Actions","005al00000RVcKvAAL","small-business-loan-post-approval-ui-adverse-actions","","nforce__ncrelatedlist","","","n-icon-reject","false","nforce__navigation","","readonly=true","","a0sWD00000Xo7cwYAB","nforce__sub_navigation","adverse-actions","","nforce__topbar","02311663700623961"
